match_id,radiant_win
999921,0
999972,0
999938,0
999937,0
999949,1
999941,0
999935,0
999943,0
999978,1
999940,0
999964,1
999997,1
999988,1
999958,1
999946,1
999905,0
999986,0
999932,0
999915,1
999977,1
999957,1
999998,0
999936,0
1000000,0
999945,0
999983,1
999910,0
999944,0
999904,1
999984,0
999989,0
999924,1
999914,1
999907,0
999974,1
999911,0
999928,0
999909,0
999955,0
999919,0
999982,0
999908,0
999922,0
999933,0
999898,1
999899,1
999866,0
999886,1
999894,1
999856,0
999854,0
999871,0
999867,0
999852,0
999847,1
999853,0
999848,0
999864,1
999888,0
999816,0
999814,0
999891,1
999878,1
999838,0
999855,0
999845,0
999828,1
999825,1
999827,0
999840,0
999823,0
999811,0
999812,1
999821,0
999795,0
999805,0
999807,1
999792,1
999790,0
999815,1
999810,1
999813,0
999836,1
999763,0
999808,1
999786,0
999781,0
999779,0
999776,1
999767,0
999772,1
999762,1
999777,1
999782,1
999769,1
999770,0
999759,1
999832,0
999830,0
999764,0
999745,0
999748,0
999739,0
999746,1
999819,1
999723,0
999722,1
999724,0
999729,0
999737,0
999706,0
999734,0
999709,0
999740,0
999708,1
999698,0
999687,0
999688,0
999710,1
999684,1
999735,1
999682,1
999676,1
999679,0
999672,0
999663,0
999680,1
999669,0
999659,0
999657,0
999667,1
999655,0
999649,0
999662,0
999666,1
999652,0
999660,1
999647,1
999726,0
999620,1
999627,0
999619,1
999644,1
999643,0
999642,0
999606,1
999631,0
999636,0
999605,1
999594,0
999592,0
999628,1
999589,0
999630,1
999588,1
999586,1
999581,0
999585,1
999573,1
999584,1
999625,1
999574,1
999543,1
999535,0
999575,1
999557,0
999569,0
999556,1
999566,1
999549,0
999544,1
999527,0
999520,0
999533,0
999505,0
999536,0
999506,0
999507,0
999522,1
999526,0
999525,0
999508,0
999504,1
999542,1
999541,1
999540,0
999539,1
999528,1
999567,1
999498,0
999487,1
999491,1
999496,0
999493,0
999494,0
999495,0
999486,0
999452,1
999492,0
999476,1
999470,1
999464,1
999474,1
999473,1
999442,1
999456,0
999444,0
999454,1
999445,1
999448,0
999437,0
999432,0
999435,0
999441,1
999434,1
999424,1
999427,1
999408,0
999419,0
999403,1
999400,0
999397,0
999398,0
999404,1
999402,0
999407,1
999405,1
999383,1
999401,1
999393,0
999385,1
999366,1
999361,0
999363,1
999362,1
999359,0
999357,0
999348,1
999367,1
999355,0
999351,0
999350,0
999335,0
999332,1
999336,0
999344,0
999342,1
999333,1
999343,1
999292,0
999322,0
999307,1
999304,0
999298,1
999334,0
999311,0
999318,0
999316,1
999287,0
999325,1
999308,1
999297,0
999296,0
999302,1
999269,0
999277,0
999264,1
999263,1
999266,1
999267,1
999261,1
999282,0
999271,1
999262,1
999265,1
999272,0
999270,0
999268,1
999290,1
999285,1
999246,1
999245,0
999255,0
999250,0
999230,1
999238,0
999222,0
999214,1
999236,0
999221,0
999235,0
999220,0
999226,1
999198,1
999207,0
999188,0
999185,0
999202,1
999196,1
999193,1
999182,0
999187,1
999180,1
999194,1
999177,1
999141,1
999164,1
999169,1
999163,0
999129,1
999159,0
999157,1
999139,0
999153,1
999138,1
999149,0
999127,0
999134,1
999133,0
999152,1
999148,0
999130,0
999098,0
999092,0
999124,0
999116,1
999101,1
999131,1
999171,1
999125,0
999108,0
999097,1
999123,1
999136,0
999102,1
999115,1
999072,0
999080,0
999089,1
999085,1
999086,0
999078,1
999088,1
999070,0
999073,1
999069,0
999059,0
999056,0
999045,1
999048,0
999034,1
999028,0
999032,1
999023,1
999022,0
999016,1
999029,0
999024,0
999055,0
999053,0
999031,1
999051,1
999025,1
999021,0
999019,0
998998,0
999017,0
999013,1
999009,0
999003,0
999011,0
999018,0
999006,1
999008,1
999001,0
998995,1
998990,0
998983,0
998992,0
998973,1
998988,0
998986,1
998989,1
998987,1
998999,0
998976,1
998959,1
998936,0
998965,1
998957,0
998963,0
998954,0
998955,0
998939,1
998941,0
998946,1
998934,1
998947,1
998952,1
998949,1
998944,0
998960,1
998951,0
998929,1
998931,0
998928,0
998919,1
998930,0
998933,0
998922,1
998915,1
998921,1
998917,1
998916,0
998904,1
998913,1
998908,1
998873,0
998897,0
998888,1
998884,0
998874,1
998892,1
998872,0
998890,0
998894,1
998854,0
998857,0
998858,0
998862,0
998825,1
998856,1
998868,0
998855,0
998838,1
998832,1
998847,1
998842,1
998835,0
998849,1
998843,1
998834,1
998850,1
998848,1
998845,1
998844,1
998828,0
998826,1
998797,0
998814,1
998817,1
998802,0
998816,0
998790,0
998823,1
998819,0
998791,0
998820,1
998792,1
998796,1
998811,1
998793,1
998788,0
998799,1
998784,0
998782,1
998770,1
998777,1
998767,0
998776,1
998771,1
998752,1
998743,1
998741,0
998739,1
998735,1
998736,1
998746,0
998754,1
998732,0
998733,1
998716,0
998710,1
998719,1
998700,1
